month,avg_surcharge,avg_tip_amt
2025-07-01,1.5900195206691468,8.344497182259817
2025-02-01,1.7515494861956933,8.33887014222096
2025-06-01,1.5849355171215227,8.4627275850134
2008-12-01,2.5,10.939999999999998
2025-11-01,1.6599035813146321,8.517350672022642
2025-10-01,1.6975057291828044,8.751238379437552
2025-04-01,1.811501879261771,8.666490271957947
2025-03-01,1.7467439641288083,8.511750270432685
2007-12-01,2.5,5.75
2025-01-01,1.9032565911893695,8.581027660749285
2025-12-01,1.4807692307692308,6.234615384615386
2025-09-01,1.627495684971069,8.570039774044341
2009-01-01,2.5,17.196
2025-05-01,1.6411495092876685,8.56753298897928
2025-08-01,1.5896026267946668,8.348142878890533
2024-12-01,1.8854166666666667,7.976666666666667
