date,precipitation_mm,trip_count
2025-07-14,23.100002,129148
2025-07-15,1.8000001,128884
2025-07-16,1.9,138821
2025-07-17,7.7999997,141979
2025-07-18,0.0,123179
2025-07-19,0.0,134288
2025-07-20,1.1,121398
2025-07-21,0.0,107728
2025-07-22,0.0,119162
2025-07-23,0.0,126084
2025-07-24,0.0,129582
2025-07-25,4.2000003,130785
2025-07-26,0.0,138038
2025-07-27,5.5,116526
2025-07-28,0.0,116919
2025-07-29,0.0,133452
2025-07-30,2.6,136697
2025-07-31,10.199999,134735
2025-08-01,1.4000001,118180
2025-08-02,0.0,126081
2025-08-03,0.0,108848
2025-08-04,0.0,101612
2025-08-05,0.2,113612
2025-08-06,0.90000004,122836
2025-08-07,0.3,117536
2025-08-08,0.0,111096
2025-08-09,0.0,112759
2025-08-10,0.0,100668
2025-08-11,0.0,96455
2025-08-12,0.0,110791
2025-08-13,5.8,128081
2025-08-14,2.1999998,118942
2025-08-15,0.0,113591
2025-08-16,3.3000002,119048
2025-08-17,3.5,112907
2025-08-18,0.0,92212
2025-08-19,0.0,103936
2025-08-20,3.6000001,126967
2025-08-21,0.1,111420
2025-08-22,0.0,109622
2025-08-23,0.0,124283
2025-08-24,0.2,110043
2025-08-25,0.0,95980
2025-08-26,0.0,104422
2025-08-27,0.1,109872
2025-08-28,0.0,112252
2025-08-29,0.0,109301
2025-08-30,0.0,114882
2025-08-31,0.0,109261
2025-09-01,0.0,95988
2025-09-02,0.0,114945
2025-09-03,0.0,127747
2025-09-04,5.6,145417
2025-09-05,2.5,141070
2025-09-06,23.699999,144739
2025-09-07,21.0,125865
2025-09-08,0.0,120295
2025-09-09,0.0,136022
2025-09-10,3.2,146892
2025-09-11,0.0,149273
2025-09-12,0.0,153691
2025-09-13,0.1,162947
2025-09-14,0.0,142129
2025-09-15,0.0,124971
2025-09-16,0.0,138926
2025-09-17,3.9999998,145326
2025-09-18,0.1,155215
2025-09-19,0.0,149033
2025-09-20,0.0,155169
2025-09-21,0.0,135223
2025-09-22,0.0,115600
2025-09-23,9.3,112661
2025-09-24,4.8,131106
2025-09-25,50.900005,147229
2025-09-26,0.0,148712
2025-09-27,0.4,160365
2025-09-28,0.7,134901
2025-09-29,0.0,120268
2025-09-30,0.0,135281
2025-10-01,0.0,130453
2025-10-02,0.0,127449
2025-10-03,0.0,136916
2025-10-04,0.0,144379
2025-10-05,0.0,123795
2025-10-06,0.0,116574
2025-10-07,0.0,130203
2025-10-08,6.9,144129
2025-10-09,0.0,156135
2025-10-10,0.0,149962
2025-10-11,1.2,150980
2025-10-12,15.999999,126975
2025-10-13,30.799997,109726
2025-10-14,0.4,134599
2025-10-15,0.0,141372
2025-10-16,0.0,155028
2025-10-17,0.0,146546
2025-10-18,0.0,148746
2025-10-19,0.0,135134
2025-10-20,6.999999,114421
2025-10-21,1.0,132862
2025-10-22,2.1999998,142496
2025-10-23,0.0,154707
2025-10-24,0.0,148890
2025-10-25,0.0,153097
2025-10-26,0.0,123530
2025-10-27,0.0,119437
2025-10-28,0.0,132707
2025-10-29,0.0,140356
2025-10-30,42.199997,157628
2025-10-31,0.0,163265
2025-11-01,0.0,179008
2025-11-02,0.0,147755
2025-11-03,0.0,125804
2025-11-04,0.0,129206
2025-11-05,1.0,138320
2025-11-06,0.0,153676
2025-11-07,0.0,143323
2025-11-08,6.2,150521
2025-11-09,0.3,130086
2025-11-10,13.099999,128641
2025-11-11,0.6,128872
2025-11-12,0.1,138215
2025-11-13,0.2,151654
2025-11-14,0.0,150137
2025-11-15,4.4,159325
2025-11-16,0.1,133306
2025-11-17,0.1,125948
2025-11-18,0.0,139013
2025-11-19,3.6,148038
2025-11-20,0.0,154578
2025-11-21,0.0,147631
2025-11-22,5.6999993,151214
2025-11-23,0.0,123846
2025-11-24,0.0,117030
2025-11-25,13.1,138903
2025-11-26,1.5,118579
2025-11-27,0.0,95064
2025-11-28,0.0,98050
2025-11-29,0.0,112369
2025-11-30,2.8000002,108942
2025-12-01,0.0,13
